MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;3.532;-3.169;30
153.4;153.4;3.523;-3.172;30
221;221;3.531;-3.333;30
221;221;3.531;-3.333;20
234.2;234.2;3.532;-3.365;20
274.6;274.6;3.777;-3.646;20
315;315;4.371;-4.163;20
355.3;355.3;5.767;-5.153;20
395.7;395.5;8.206;-6.912;20
436.1;435.8;10.921;-9.467;20
474.4;473.9;12.999;-12.52;20
514.8;514.1;14.553;-16.355;20
557.1;556.1;15.588;-21.099;20
597.5;596.2;16.223;-26.252;20
637.8;636.1;16.787;-31.912;20
678.2;676;17.313;-38.011;20
718.5;715.8;17.701;-44.4;20
758.9;755.6;17.502;-51.243;20
799.3;795.2;16.18;-58.857;20
839.7;834.6;13.636;-67.417;20
880;873.7;10.142;-76.815;20
920.4;912.8;6.31;-86.123;20
960.8;952;2.573;-95.245;20
1001.1;990.8;-1.281;-105.315;20
1041.6;1029.7;-5.366;-116.01;20
1081.9;1068.3;-9.809;-126.371;20
1122.3;1107;-15.426;-136.633;20
1162.6;1145.4;-22.662;-146.39;20
1203;1184.1;-30.997;-154.571;20
1243.3;1222.9;-39.524;-161.354;20
1283.8;1261.7;-49.087;-168.032;20
1324.1;1299.6;-60.743;-174.978;20
1364.5;1336.8;-74.67;-182.344;20
1368;1340;-76.028;-183.037;20
1368;1340;-76.028;-183.037;13.375
1383;1353.5;-81.85;-186.005;13.375
1406;1374.1;-90.567;-191.26;13.375
1445;1409.4;-102.971;-202.067;13.375
1487;1448.1;-112.839;-215.086;13.375
1544;1501.4;-120.418;-233.882;13.375
1584;1538.8;-122.111;-247.93;13.375
1625;1577;-121.095;-262.586;13.375
1665;1614.4;-117.505;-276.396;13.375
1705;1651.6;-111.428;-289.725;13.375
1746;1689.2;-103.127;-303.78;13.375
1786;1725.2;-93.321;-318.32;13.375
1827;1761.5;-82.192;-333.61;13.375
1867;1796.9;-71.042;-348.659;13.375
1907;1832.3;-59.96;-363.52;13.375
1948;1868.8;-48.766;-378.547;13.375
1988;1904.3;-37.809;-393.423;13.375
2028;1939.6;-26.945;-408.576;13.375
2069;1976;-16.703;-424.586;13.375
2109;2011.6;-8.263;-440.703;13.375
2149;2047.6;-1.957;-456.968;13.375
2190;2084.9;1.991;-473.519;13.375
2230;2121.4;4.125;-489.783;13.375
2270;2157.9;4.656;-506.101;13.375
2311;2195.2;3.064;-522.865;13.375
2351;2231.5;-0.318;-539.338;13.375
2392;2268.6;-5.921;-556.03;13.375
2432;2304.3;-13.883;-572.028;13.375
2486;2352;-28.288;-592.776;13.375
2513;2375.5;-37.112;-602.732;13.375
2562;2417.2;-55.928;-620.373;13.375
2562;2417.2;-55.928;-620.373;9.625
2563.5;2418.4;-56.496;-620.906;9.625
2603.8;2452.4;-73.26;-634.784;9.625
2644.2;2487.4;-89.136;-647.042;9.625
2684.5;2523.4;-103.795;-657.757;9.625
2724.8;2560.2;-117.106;-667.368;9.625
2765.1;2598.2;-128.471;-674.342;9.625
2803.1;2634.9;-137.563;-678.42;9.625
2852;2682.6;-147.567;-682.394;9.625
2892.4;2722.1;-155.385;-685.612;9.625
2915;2744.1;-159.996;-687.372;9.625
2915;2744.1;-159.996;-687.372;7
2939.7;2768.3;-165.043;-689.298;7
2969.8;2797.5;-171.676;-690.904;7
2997.1;2824;-178.445;-691.999;7
3038.4;2863.5;-190.489;-693.94;7
3078.3;2901;-203.528;-696.168;7
3118.3;2938.4;-217.45;-699.229;7
3158.5;2975.7;-232.184;-702.866;7
3199;3013.3;-246.787;-706.461;7
3211.8;3025.2;-251.246;-707.585;7
3231;3043.1;-257.91;-709.301;7
